OBJECTID,DATE,Count_
161,2020/08/25 14:00:00+00,10
162,2020/08/26 14:00:00+00,9
163,2020/08/27 14:00:00+00,10
164,2020/08/28 14:00:00+00,11
165,2020/08/29 14:00:00+00,5
166,2020/08/30 14:00:00+00,7
167,2020/08/31 14:00:00+00,3
168,2020/09/01 14:00:00+00,6
169,2020/09/02 14:00:00+00,7
170,2020/09/03 14:00:00+00,14
171,2020/09/04 14:00:00+00,4
172,2020/09/05 14:00:00+00,7
173,2020/09/06 14:00:00+00,2
174,2020/09/07 14:00:00+00,4
175,2020/09/08 14:00:00+00,2
176,2020/09/09 14:00:00+00,8
177,2020/09/10 14:00:00+00,10
178,2020/09/11 14:00:00+00,4
179,2020/09/12 14:00:00+00,3
180,2020/09/13 14:00:00+00,3
181,2020/09/14 14:00:00+00,9
182,2020/09/15 14:00:00+00,9
183,2020/09/16 14:00:00+00,6
184,2020/09/17 14:00:00+00,6
185,2020/09/18 14:00:00+00,7
186,2020/09/19 14:00:00+00,6
187,2020/09/20 14:00:00+00,7
188,2020/09/21 14:00:00+00,5
189,2020/09/22 14:00:00+00,3
190,2020/09/23 14:00:00+00,12
191,2020/09/24 14:00:00+00,2
192,2020/09/25 14:00:00+00,3
193,2020/09/26 14:00:00+00,0
