OBJECTID,DATE,Count_
272,2020/12/14 15:00:00+00,4978
273,2020/12/15 15:00:00+00,5039
274,2020/12/16 15:00:00+00,5103
275,2020/12/17 15:00:00+00,5152
276,2020/12/18 15:00:00+00,5188
277,2020/12/19 15:00:00+00,5242
278,2020/12/20 15:00:00+00,5279
279,2020/12/21 15:00:00+00,5302
280,2020/12/22 15:00:00+00,5353
281,2020/12/23 15:00:00+00,5402
282,2020/12/24 15:00:00+00,5462
283,2020/12/25 15:00:00+00,5493
284,2020/12/26 15:00:00+00,5514
285,2020/12/27 15:00:00+00,5545
286,2020/12/28 15:00:00+00,5573
287,2020/12/29 15:00:00+00,5636
288,2020/12/30 15:00:00+00,5681
289,2020/12/31 15:00:00+00,5727
290,2021/01/01 15:00:00+00,5774
291,2021/01/02 15:00:00+00,5799
292,2021/01/03 15:00:00+00,5826
293,2021/01/04 15:00:00+00,5859
294,2021/01/05 15:00:00+00,5913
295,2021/01/06 15:00:00+00,5960
296,2021/01/07 15:00:00+00,6004
297,2021/01/08 15:00:00+00,6047
298,2021/01/09 15:00:00+00,6075
299,2021/01/10 15:00:00+00,6100
